preferred_label,alt_labels,type
advise customers on motor vehicles,help customers on motor vehicles|instruct customers on motor vehicles|advising customers on motor vehicles|advise a customer on motor vehicles|advise a customer about a motor vehicle|suggest customers on motor vehicles|support customers on motor vehicles,skill
plot rigging movements,plotting rigging movements|log rigging movements|plot rigging movement|plot movements of rigging|register rigging movements|write down rigging movements,skill
develop proposed choreographic language,build up proposed choreographic language|create proposed choreographic language|produce proposed choreographic language|develop proposed choreographic language|developing proposed choreographic language|develop language for proposed choreography,skill
maintain ride parts inventory,keep ride parts inventory updated|manage ride parts inventory|maintaining ride parts inventory|oversee ride parts inventory,skill
prepare resin bath,fill reservoir with resin|preparing resin bath|filling reservoir with resin|reservoir filling with resin|resin bath preparing,skill
transcreation,,knowledge
advise customers on crafts,instruct customers on crafts|help customers on crafts|advise a customers on crafts|commend customers on crafts|advising customers on crafts|suggest customers on crafts|recommend customers on crafts|advise a customers on a craft,skill
develop contingency plans for emergencies,compose emergency contingency plans|compose contingency plans for emergencies|produce emergency action plans|develop emergency contingency plans|create contingency plans for emergencies|produce action plans for emergency situations|produce plans for procedures to be taken in an emergency|develop contingency plans for use in emergencies|outline procedures to taken in the event of an emergency|create emergency contingency plans|outline actions to be taken in the event of an emergency,skill
tend tumbling barrels,tumbling barrels operating|operate tumbling barrels|tumbling barrels tending|tumbling barrel operating|tending tumbling barrels|tumbling barrel tending|operating tumbling barrels,skill
report medication interaction to pharmacist,report a medication interaction to pharmacist|identify a medication interaction|identify drug-drug or drug-patient interactions|identify medication interactions|report medication interaction to the pharmacist|report medication interactions to pharmacist,skill
manage digital archives,managing digital archives|maintain digital archives|manage digital archive|oversee digital archives,skill
create a flight plan,compile a flight plan|conduct flight plan development activities|produce a flight plan|design a flight plan|compose a flight plan|carry out production of flight plan|undertake flight plan production|develop a flight plan|use different sources of information for flight plan production|perform flight plan development activities,skill
conduct qualitative research,,skill
memorise information,memorising information|memorise procedures|memorise info|memorise facts|memorize information|remember information|learn information by heart|commit information to memory|mnemonics principles,skill
food safety standards,food safety codes|food safety rules|food safety measures|standards of safety standards|food safety requirements|food safety standard,knowledge
carry out invasive cardiovascular procedures,conduct invasive cardiovascular procedures|conduct cardiovascular invasive procedure|execute invasive cardiovascular procedures|conduct cardiovascular invasive procedures|conduct invasive cardiovascular procedure|carry out invasive cardiovascular procedure|carry out cardiovascular invasive procedure|carry out invasive cardiovascular procedures,skill
textile finishing technology,textile finishing technologies|finishing machines knowledge and operation|finishing technologies|finishing technology|textile finishing machinery knowledge and operation|textile finishing machines knowledge and operation,knowledge
operate sugar washing systems,handle sugar washing systems|operate a sugar washing system|use sugar washing systems|utilise sugar washing systems|work sugar washing systems,skill
promote the participation of citizens in scientific and research activities,engage citizens in scientific and research activities|foster public involvement in scientific research|engage public in research|encourage civic engagement in research|promote citizens participation in research,skill
geographical areas relevant to tourism,tourism-related geographical areas|worldwide tourist destinations|geography|geographical areas for tourism,knowledge
vessel traffic services,ship traffic control|VTS|marine traffic control systems|nautical traffic control|vessel traffic management,knowledge
perform political negotiation,complete political negotiation|undertake political negotiation|undertake political arbitration|complete political arbitration|implement political negotiation|implement political arbitration,skill
manage financial aspects of a company,manage the financial aspects of a company|managing financial aspects of a company|regulate financial aspects of a company|managing the financial aspects of a company|oversee financial aspects of a company|maintain financial aspects of a company|supervise financial aspects of a company,skill
coordinate with other emergency services,operate with other emergency services|organise with other emergency services|organise joint accident and emergency services|collaborate with other emergency services|collaborate accident and emergency services|coordinate accident and emergency services|work with other emergency services,skill
manage warehouse operations,manage operations of warehouse|conduct warehouse management activities|oversee warehouse operations|perform warehouse management activities|implement warehouse management|execute warehouse management activities|ensure effective operation of warehouse|oversee operations of warehouse|supervise warehouse operations|supervise operations of warehouse|carry out warehouse management activities,skill
infrared sensors,characteristics of infrared sensors|sensors of infrared light|infrared motion sensors|sensors of infrared|infrared light detectors|range of infrared sensors|infrared light sensors|prices of infrared sensors|types of infrared sensor|sensors for infrared light|detectors of infrared light,knowledge
apply wound dressings,use wound care dressings|apply wound care dressings|administer wound dressings|use wound dressings,skill
write Polish,writing Polish|correspond in written Polish|show competency in written Polish,skill
assess felled timber quality,evaluate quality of felled timber|assess felled lumber  quality|assessing quality of felled timber|felled timber quality evaluating|assess quality of felled timber|evaluating quality of felled timber|assessing felled timber quality|felled timber quality assessing|evaluating felled timber quality|evaluate felled timber quality,skill
maintain administrative records in the veterinary office,keep administrative records in the veterinary office|produce and update administrative records in veterinary office|maintain veterinary administration records|conduct veterinary administration record keeping|perform administrative record keeping in veterinary office|create veterinary administration records|create administrative records in the veterinary office|maintain administrative records in veterinary office|produce and update veterinary administration records|keep veterinary administration records,skill
recommend footwear products to customers,recommending a footwear product to a customer|recommend footwear products to a customer|propose footwear products to customers|endorse footwear products to customers|suggest footwear products to customers|advocate footwear products to customers|recommending footwear products to customers,skill
identify land mines,establish land mine location|search for anti personnel mines|search for land mines|find land mines|find anti personnel mines|establish anti personnel mine location,skill
prepare geological map sections,creation of geological sections|geological map section preparation|preparing geological map sections|preparing of geological map sections|create geological sections|geological section creation|geological sections creation|creating of geological sections|creating geological sections|preparation of geological map sections|geological map sections preparation,skill
perform repairs on bicycles,fix bicycles|repair bicycles|repairing bicycles|perform repairs on bikes|performing repairs on bicycles repair bicycles|perform repairs on bicycle,skill
label samples,label a sample|marking samples|mark a samples|mark samples|sample label,skill
thermoplastic materials,a thermoplastic material|thermoplastic components|thermoplastic objects|thermoplastic goods|thermoplastic material|thermoplastic equipment,knowledge
connect vehicle maintenance and operations departments,link vehicle operations and maintenance departments|ensure communication between vehicle maintenance and operations departments|establish communication between vehicle maintenance and operations departments|link vehicle maintenance and operations|facilitate communication between vehicle maintenance and operations departments|connect vehicle maintenance with operations|connect vehicle operations and maintenance departments|ensure vehicle operations department communicates with maintenance department|ensure vehicle maintenance department communicates with operations|link vehicle maintenance and operations departments,skill
appraise historical documents,appraising historical documents|estimate the value of historical documents|assess the validity and worth of historical documents,skill
prevent marine pollution,avert marine pollution|avert pollution of marine areas|adhere to international regulations on prevention of marine pollution|perform marine pollution prevention activities|prevent maritime pollution|implement measures to prevent marine pollution|implement measures to mitigate marine pollution|conduct marine pollution mitigation activities|prevent pollution of marine areas|carry out marine pollution prevention activities|prevent pollution of maritime areas,skill
complete transaction procedures for returned vehicles,achieve transaction procedures for returned vehicles|carry out transaction procedures for returned vehicles|completing transaction procedures for returned vehicles|complete transaction procedures for a returned vehicle|finish transaction procedures for returned vehicles|completing  transaction procedures for a returned vehicle|accomplish transaction procedures for returned vehicles,skill
prepare egg products for use in a dish,prepare eggs for use in a dish|beat eggs|separate eggs according to recipe|prepare egg products to be used in a dish,skill
ensure ambulance roadworthiness,ensure roadworthiness of ambulance|check ambulance roadworthiness|ensure roadworthiness of ambulances|ensure ambulance's roadworthiness|ensure roadworthiness of ambulance vehicles,skill
inform customers on energy consumption fees,energy consumption fee information giving|give information on energy consumption fees|energy consumption fees information giving|customer informing on energy consumption fees|customer informing about energy consumption fees|informing customers on energy consumption fees|giving information on energy consumption fees,skill
system design,system architecture design,knowledge
building information modelling,Building Information Modelling|bim|BIM,knowledge
follow manufacturer guidelines in use of airport equipment,adhere to manufacturer guidelines in use of airport equipment|observe manufacturer advice in use of airport equipment|follow manufacturer advice in use of airport equipment|operate airport equipment according to manufacturer recommendations|operate airport equipment in accordance with advice provided by manufacturers|operate airport equipment in accordance with guidelines provided by manufacturers|adhere to manufacturer advice in use of airport equipment|observe manufacturer guidelines in use of airport equipment|utilise airport equipment in accordance with manufacturer recommendations|operate airport equipment according to recommendations of manufacturers|use airport equipment in accordance with manufacturer recommendations,skill
manage information sources,,skill
perform routine flight operations checks,perform series of checks required for flight operations|execute routine flight operations checks|perform routine checks for flight operations|carry out routine flight operations checks|ensure execution of routine flight operations checks|conduct series of checks required for flight operations|complete necessary routine flight operations checks|undertake routine flight operations checks|conduct routine flight operations checks,skill
maintain financial records,oversee financial records|maintain financial record|keep financial records|update financial records|maintaining financial records,skill
follow safety procedures when working at heights,follow safety rules when working at heights|following safety procedures when working at heights|follow safety procedures when at heights|comply with safety procedures when working at heights|follow safety procedure when working at heights,skill
ICT process quality models,CMMI (Capability Maturity Model Integrated)|software process quality|Quality maturity models|CMM,knowledge
operate fire extinguishers,operate extinguishers|use extinguishers|use fire extinguishers|utilise fire prevention equipment|utilise fire extinguishers|apply fire extinguishing techniques|control fires using extinguishers|utilise fire extinguishing techniques|use fire prevention equipment|employ fire extinguishers,skill
participate in medical records' auditing activities,assist in medical records auditing activities|assist in medical records' auditing activities|participate in auditing activities of medical records|participate in audit of medical records|participate in medical records auditing activities|take part in medical records' auditing activities,skill
supervise security at manned access gates,oversee surveillance at manned access gates|oversee security at manned access gates|oversee surveillance in secure areas|monitor security in secure areas|perform security monitoring activities in secure areas|oversee security at security checkpoints|undertake security surveillance activities in secure areas|supervise surveillance at security checkpoints|oversee security in secure areas|gatekeeping|supervise surveillance at manned access gates|supervise security at manned access gates,skill
organise mail deliveries,arrange delivery of mail|perform mail delivery organisation activities|arrange mail deliveries|carry out mail delivery coordination activities|organize mail deliveries|coordinate mail deliveries|organise delivery of mail|organise delivery of small packages|coordinate delivery of mail|arrange delivery of small packages|carry out mail delivery organisation activities,skill
work with a voice coach,rehearse with a voice coach|collaborate with a voice coach|working with voice coaches|train with a voice coach,skill
lead the brand strategic planning process,leading the brand strategic planning process|determine the brand strategic planning process|control the brand strategic planning process|administer the brand strategic planning process|lead brand strategic planning processes|lead a brand strategic planning process|direct the brand strategic planning process,skill
assist community,aid neighbourhoods|facilitate neighbourhoods|support communities|aid communities|help communities|help neighbourhoods|support neighbourhoods|facilitate communities,skill
interact verbally in Malay,verbally interact in Malay|be fluent in Malay|interacting verbally in Malay|speak Malaysian|speak Malay|communicate verbally in Malay,skill
assemble prefabricated furniture,construct prefabricated furniture|assemble prefab furniture|assembling prefabricated furniture|put together prefabricated furniture,skill
manage transport of goods from warehouse facilities,deal with goods transported from warehouses|define warehouse transportation networks for goods|transport products from warehouse facilities|transport goods from warehouse facilities|handle commodities transported from warehouse facilities|manage materials transported from warehouse facilities|manage warehouse commodities|manage warehouse goods,skill
regulate chemical reaction,chemical reactions regulating|control chemical reaction|regulating chemical reaction|chemical reactions controlling|chemical reaction controlling|chemical reaction regulating|controlling chemical reaction,skill
characteristics of services,aspects of services|attributes of services|qualities of services|characteristic of a service|characteristics of a service|service characteristics|components of services,knowledge
ensure compliance with maintenance legislation,verify compliance with maintenance regulations and procedures|ensure compliance with maintenance regulations|ensure compliance with legislation on maintenance|ensure maintenance legislation compliance,skill
monitor patients during surgery,observe patients during surgery|observe patients in surgery|observe surgery patients|monitor patients during surgeries|monitor patient during surgery|monitor surgery patients,skill
supervise animal handling for veterinary activities,oversee animal handling for veterinary activities|supervise animal restraint for veterinary activities|supervise animal handling for veterinary activity|supervise animal handling and restraint for veterinary activities,skill
field-programmable gate arrays,,knowledge
facilitate motor skill activities,support motor skill activities|facilitating motor skill activities|encourage motor skill activities|facilitate motor skill activity|facilitates motor skill activities|assist motor skill activities,skill
software metrics,,knowledge
variety of grapes,grape varieties|categories of grapes|strains of grapes|varieties of grapes|variety of grape|types of grapes,knowledge
health informatics,application of health information technology|field of health information technology|field of health informatics|use of health information technology|science of health informatics|science of healthcare informatics|field of healthcare informatics,knowledge
basic chemicals,hydrogen|base chemicals|types of basic chemicals|methanol|characteristics of basic chemicals|benzene|nitrogen|oxygen|inorganic basic chemicals|ethanol,knowledge
administer medication for vision problems,control  medication for vision restrictions|direct medication for vision problems|control medication for vision problems|medicate people with vision problem|control  medication for vision difficulties|control medication for vision problem|administer medication for vision problem|administer medical treatment for vision problems|control medication for vision limitations,skill
clear accident site,clearance of accident site|accident site clearance|clearance of accident scene|accident scene clearing|clearing accident site|accident site clearing|clearing accident scene|accident scene clearance|clear accident scene,skill
mentor individual employees,mentoring individual employees|supporting individual employees|supporting employees individually|individual employee mentoring|individual employee supporting|support employees individually|mentor employees individually|mentoring employees individually|support individual employees,skill
maintain chromotography machinery,chromotography machinery maintaining|chromotography machinery looking after|looking after chromotography machinery|look after chromotography machinery|maintaining chromotography machinery,skill
draw up artistic programming policy,create artistic programming policy|draw up artistic programming policies|produce artistic programming policy|formulate artistic programming policy|drawing up artistic programming policy|develop artistic programming policy,skill
liaise with transportation services,act as an intermediary between the customer and various transport services|liaise with transportation companies on behalf of the customer|liaise with transport companies on behalf of the client|liaise between the client and a variety of transportation services|liaise between the customer and a variety of transportation services|liaise between the customer and various transportation services|liaise between the customer and various transport services|liaise between the client and a variety of transport services|perform liaison activities with transport services on behalf of customers|perform liaison activities with transport services on behalf of the client|liaise between the client and various transport services|liaise between the client and various transportation services|act as an intermediary between the customer and transport services,skill
plan choreographic improvisation,plan choreographic improvisations|planning choreographic improvisation|design choreographic improvisation|devise choreographic improvisation|develop choreographic improvisation,skill
create data models,manage data models,skill
instruct on set up of equipment,instruct on equipment setup|give instructions on equipment setup|instruct how to set up equipment|inform on equipment setup,skill
cope with stage fright,overcome stage anxiety|coping with stage fright,skill
emergency medicine,care for undifferentiated and unscheduled patients|emergency care,knowledge
strive for excellence in musical performance,try hard to achieve a standard of excellence in musical performance|strive for musical performance excellence|striving for excellence in musical performance|strive for virtuosity in musical performance,skill
maintain ICT system,,skill
operate concrete mixer truck,operating concrete mixer truck|operation of concrete mixer truck|concrete mixer truck operation|driving of concrete mixer truck|drive concrete mixer truck|concrete mixer truck driving|driving concrete mixer truck,skill
handle poultry,catching farm poultry|catch poultry|catch poultry on a farm|handling poultry with care|catch poultry for examination|fowls handling|gather poultry for examination|handle poultry|gather poultry for movement|catch poultry for gathering|handle poultry on a farm|gather poultry|handling fowls|catch poultry for handling|poultry catching on a farm|handling poultry|handling fowls with care|handle fowls with care|handle poultry with care|poultry handling|poultry catching|catch poultry for movement|poultry handling on a farm,skill
guide staff,inform co-workers|direct co-workers|help co-workers|inform staff|direct staff|help staff|support staff|support co-workers,skill
develop an artistic network,develop public relations|developing an artistic network|create a musical network|develop artistic networking,skill
host trade delegations,care for trade deputations|take care of trade delegations|look after trade delegations|care for trade delegations|host trade deputations|look after  trade deputations,skill
ergonomics,human factors and ergonomics|ergonomy,knowledge
manage stress in the work place,cope with stress in organisation|cope with pressure in the work place|handle stress in  organizations|deal with stress in an organization|manage stress in  organisations|manage stress in an organisation|manage stress in organization|handle stressful situations in an organisation,skill
analyse community needs,respond to community needs|analyse needs of community|find out community needs|analyze  community needs|analyze community needs|allocate resources according to community needs|research community needs|identify community needs,skill
understand spoken Walloon,understand Walloon speech|listen to Walloon|make sense of spoken Walloon|understanding spoken Walloon|interpret spoken Walloon|comprehend spoken Walloon,skill
operate LED-based panel signal boxes,execute signalling activities using LED-based panel signal boxes|operate LED panel signal boxes|undertake LED-based panel box rail signalling activities|use LED panel signal boxes|carry out railway operations using LED-based panel signal boxes|utilise LED-based panel signal boxes|use LED-based panel signal boxes|utilise LED panel signal boxes|carry out rail operations using LED-based panel signal boxes|perform signalling activities using LED-based panel signal boxes,skill
types of planing cutters,variety of planing cutters|planing cutter models|brands of carbide tipped blades|categories of planing cutters|brands of planing cutters|categories of carbide tipped blades|variety of carbide tipped blades,knowledge
EU law,European Union law|community law|EU legislation,knowledge
maintain refuse collection equipment,repairing refuse collection equipment|maintaining refuse collection equipment|refuse collection equipment maintaining|repair refuse collection equipment|refuse collection equipment repairing,skill
correct dentofacial deformities,correct dentofacial deformity|correct a dentofacial deformity|surgically realign a dentofacial deformity|correct dentofacial deformities|surgically realign dentofacial deformities,skill
train religious professionals,religious professional instruction|educate religious professionals|teach religious professionals|instruct religious professionals|religious professional teaching|religious professional training|religious professional education,skill
develop biocatalytic processes,apply biocatalytic processes|using biocatalytic processes|use biocatalytic processes|applying biocatalytic processes|biocatalytic process developing|developing biocatalytic processes,skill
transfer stock,stock transfer|transferring stock|move stock|shift stock|remove stock|transfer of stock|transport stock,skill
liaise with logistics management teams,communicate with logistics management teams|liaise with logistics management teams to optimise service levels|confer with logistics management teams|increase service efficiency by communicating with logistics management teams|collaborate with logistics management teams to optimise service levels|increase service efficiency by liaising with logistics management teams|communicate with logistics management teams to optimise service levels|facilitate service optimisation through communication with logistics management teams|collaborate with logistics management|facilitate service optimisation through collaboration with logistics management teams|increase service efficiency by collaborating with logistics management teams,skill
monitor construction site,monitoring construction site|construction site monitoring|oversee construction site|oversee construction workers|check construction progress|check progress of construction|monitoring of construction site|oversee construction site workers,skill
maintain parts inventory,maintain parts inventories|sustain parts inventory|maintaining a parts inventory|preserve parts inventory|maintain a parts inventory|control parts inventory|manage parts inventory,skill
evaluate translation technologies,evaluation of translation technology|grade translation technologies|assess translation technologies|examine translation technologies|translation technology evaluation|test translation technologies,skill
excavate fossils,excavate fossil|extract fossils|unearth fossils|excavating fossils|dig up fossils,skill
direct distribution operations,direct distribution applications|direct distribution processes|direct a distribution operation|direct distribution performance|directing distribution operations|distribution operation directing,skill
carry out evacuation of airport in an emergency,carry out evacuation of airport in an emergency|execute evacuation of airport in an emergency|facilitate airport evacuation|carry out emergency airport evacuation|support the evacuation of airport users in an emergency|execute airport evacuation in an emergency|execute emergency airport evacuation|ensure evacuation of airport in emergency situations|carry out airport evacuation in an emergency|support the emergency evacuation of airport users|assist airport evacuation,skill
repair alarm system,repairing alarm system|fix security alarm system|repair security alarm system|fix alarm system|repair alarm,skill
implement ICT recovery system,recover ICT system|disaster recovery,skill
develop zoonotic disease control policies,elaborate zoonoses control policy|develop control strategies against zoonotic and foodborne diseases|develop zoonotic disease control guidelines|develop zoonotic and foodborne disease control policies|establish zoonoses control policy|elaborate zoonotic disease control policies|establish zoonotic disease control policies|develop zoonotic disease control strategies,skill
attend meetings,turn up at gatherings|take part in meetings|appear at meetings|appear at gatherings|turn up at meetings|take part in gatherings|frequent gatherings|frequent meetings|attend committees and conventions,skill
tune up wireless audio systems,tune up wireless audio system|tuning up wireless audio systems|fine tune wireless audio systems|tune-up wireless audio systems,skill
draw design sketches,,skill
follow verbal instructions,work according to verbal instructions|follow verbal directions|follow spoken instructions|adhere to verbal instructions|perform work tasks according to spoken instructions|perform work tasks according to verbal instructions|carry out work tasks according to verbal directions|adhere to verbal directions|adhere to spoken directions|work according to verbal directions|follow spoken directions,skill
types of drill press oils,brands of boring lubricants|models of drill press oils|categories of boring lubricants|models of boring lubricants|categories of drill press oils|drill press oils varieties|brands of drill press oils|boring lubricants varieties,knowledge
manage packaging development cycle from concept to launch,regulate packaging development cycle from concept to launch|manage packaging development cycle from concepts to launch|oversee packaging development cycle from concept to launch|supervise packaging development cycle from concept to launch|maintain packaging development cycle from concept to launch,skill
identify with the company's goals,identify with the company's mission|identify with the company's vision and goals|make the company's goals one's own|understand and pursue the company's goals,skill
cybernetics,field of cybernetics|study of control and communication|control of system using technology|science of control and communication|science of cybernetics|first order cybernetics|theories of cybernetics|second order cybernetics,knowledge
operate ship rescue machinery,operating rescue machinery on ship|operate survival craft and rescue boats|survival craft and rescue boats operating|operating ship rescue machinery|rescue machinery operating on ship|ship rescue machinery operating|operate rescue machinery on ship|operating survival craft and rescue boats,skill
edit scripts,revise scripts|correct scripts|editing scripts|copyedit scripts|edit script,skill
manage forest fires,forest fires preventing|forest fire managing|prevent forest fires|managing forest fires|forest fires managing|forest fire preventing|preventing forest fires,skill
install electronic communication devices on trains,install communication equipment on trains|perform installation of electronic communication systems used in trains|perform installation of electronic communication equipment used in trains|carry out installation of electronic communication systems used in trains|test train electronic communication equipment|install electronic communication equipment on trains|install communication devices on trains|set up electronic communication devices on trains|set up electronic communication equipment on trains|install electronic communication apparatus on trains|adjust electronic communication apparatus,skill
control panel components,types of control panel parts|typology of control panel parts|types of control panel components|range of control panel components|range of control panel parts|typology of control panel components|components of control panel|parts of control panel,knowledge
grade candles,grade a candle|rate candles|grading candles|score candles|order candles,skill
develop natural areas works programmes,developing works programmes for natural areas|develop natural areas works plans|developing works plans for natural areas|natural areas works plan developing|natural areas works programme developing|develop natural areas works programs|develop works plans for natural areas|developing natural areas works plans|develop works programmes for natural areas|developing natural areas works programmes,skill
podiatric surgery,feet and ankle surgery|podiatric therapy|foot and ankle operations|foot and ankle surgeries|surgical speciality of feet treatment|podiatric surgical procedure|foot and ankle surgical procedure|foot and ankle surgery|foot and ankle operation|podiatric operation,knowledge
perform clinical neurophysiological examinations,carry out clinical neurophysiological examinations|perform a clinical neurophysiological examination|do clinical neurophysiological examinations|carry out clinical neurophysiological tests|perform a clinical neuro-physiological examination|perform clinical neurophysiological tests,skill
safe street sweeping procedures in traffic,safe street sweeping procedure in traffic|secure street sweeping procedures in traffic|safety procedures for street sweeping in traffic|risk-free street sweeping procedures in traffic,knowledge
blockchain mining principles,principles of mining in blockchain,knowledge
ingredients for beer production,ingredients for beer preparation|ingredients for beer producing|ingredients for beer formulation|ingredients for the production of beer|beer production ingredients|ingredients for beer manufacture|ingredients for beer making,knowledge
apply psychoanalysis,conduct psychoanalysis|practice psychoanalysis|exercise psychoanalysis|apply psychoanalysis on clients|apply psychoanalysis on patients|implement psychoanalysis|conduct psychoanalysis on patients|conduct psychoanalysis on clients|administer psychoanalysis,skill
conduct security screenings,carry out security screenings|manage security screenings|manage security checks|carry out security checks|undertake security screenings|undertake security checks|organise security checks|organise security screenings,skill
plan shots,position shots|coordinate shots|organise shots|arrange shots|plan shot|planning shot,skill
prevent communicable diseases' outbreaks,prevent the spread of infectious diseases|carry out outbreak-prevention of cummunicable diseases in the community|manage communicable disease control and prevention|prevent outbreaks of communicable diseases in the community|prevent the spread of communicable diseases in a community,skill
animal anatomy for food production,animal anatomies for food production|animal anatomy for food manufacturing|animal anatomy for food creation|animal anatomy for food concoction|animal anatomy for food development|the animal anatomy for food production|animal anatomy for the production of food,knowledge
business knowledge,business economics|range of business knowledge|enterprise economics|principles of business economics|economics of business|principles of business|principles of business and enterprise|knowledge of business,knowledge
use special hearing equipment for tests,use special hearing equipment for a test|use special hearing equipment in tests|use audiometers and computers for tests|test for hearing disorders using special equipment|determine patient's hearing disorders using special equipment,skill
holography,holographic technique|holographic imaging|holographic technology|3D imaging,knowledge
collect cyber defence data,collect cyber defence intelligence|collect data for cyber defence through DNS request logs|gather cyber defence intelligence|collect data for cyber defence through online trade records|gather cyber defence data,skill
analyse the comments of selected audiences,review the comments of select audiences|analyse select audiences comments|evaluate the comments of select audiences|examine the comments of select audiences|analyse the comments of select audience|survey the comments of select audiences|analyze  the comments of select audiences,skill
Armenian,ability to comprehend spoken and written Armenian and to speak and write in Armenian|competent in Armenian,knowledge
develop design ideas cooperatively,share and develop design ideas|develop ideas for design cooperatively|develop cooperatively design ideas|share and develop design ideas with others,skill
supervise waste water treatments,waste water treatment supervising|manage treatment of waste water|manage waste water treatments|waste water treatment managing|supervise treatment of waste water|managing waste water treatments|manage treatments of waste water|supervising waste water treatments|waste water treatments supervising|supervise treatments of waste water|waste water treatments managing,skill
packaging processes,packaging process|packaging processing|packaging production|packaging operations|package processes|packaging development|packaging design,knowledge
secure premises,securing premises|confirm security of premises|secure location|secure building,skill
install deicing boot,set up deicing boot|install ice protection system|build in deicing boot|establish deicing boot|install deicing boots|mount deicing boot,skill
insurance market,insurance markets|coverage market,knowledge
interact verbally in Croatian,be fluent in Croatian|communicate verbally in Croatian|interacting verbally in Croatian|speak Croatian|verbally interact in Croatian,skill
coach clients,coaching clients|manage clients|coaching client|prepare clients|supervise clients,skill
prepare ceremonial locations,get ceremonial locations ready|prepare location for ceremony|preparing ceremonial locations|prepare locations for ceremonies|prepare ceremonial location|make ceremonial locations ready,skill
types of heat sealing,type of heat sealing|brands of heat sealing|categories of heat sealing|varieties of heat sealing|types of heat seals|variations of heat sealing|heat sealing types,knowledge
numerical sequences,sequence of digits|numerical sequencing|digital sequence|numerical sequence|a numerical sequence|numerical sequences,knowledge
Interpret diagnostic procedures for vascular surgery,interpret diagnostic procedure relevant to vascular surgery|interpret diagnostic procedure relevant to vascular surgeries|interpret diagnostic procedures relevant to vascular surgery|analyse diagnostic procedures relevant to vascular surgery|apply diagnostic procedures relevant to vascular surgery,skill
types of insurance,insurance typology|insurance categories|categories of insurance types|types of insurance products|insurance types,knowledge
prepare documentation for international shipping,prepare documentation for international goods transportation|complete documentation processes for international shipments|prepare documentation for the international shipment of goods|prepare official documents for international shipping|produce documentation required for international transportation of goods|prepare documentation for international shipments|produce necessary documentation for international shipping|prepare documentation for international goods shipments|prepare documentation for the international transportation of goods|complete necessary documentation for international shipping|ready documentation for international shipping|produce documentation required for international shipments,skill
perform dating coaching,performing dating coaching|give dating advice|perform coaching for dating,skill
develop magic show concepts,generate  magic show concepts|develop concepts for magic shows|produce  magic show concepts|create  magic show concepts|developing magic show concepts,skill
repair coquille defects,coquille repair|coquille repairs|repair coquilles|repair defective coquille|repairing defective coquilles|coquille defect repair|repairing coquille defects|repair defective coquilles|repairing defective coquille|repairing of coquille defects|repairing coquilles,skill
compute engraving dimensions,measure size of engraving|calculate engraving dimensions|compute dimensions to engrave|compute dimensions for engraving,skill
provide health psychological analysis,offer health psychological analyses|advise organisations on health psychological issues|offer health psychological analysis|advise organizations on health psychological matters|provide health psychological analyses,skill
develop innovative mobility solutions,develop mobility applications|develop mobility on demand services|foster sustainable mobility|determine innovative mobility concepts|develop bike sharing services|determine innovative mobility services,skill
formulate a treatment plan,produce a treatment plan|formulate a plan of treatment|formulate a plan for treatment|formulate a patient's treatment plan|create a treatment plan|write a treatment plan,skill
kinanthropometry,kinanthropometrics,knowledge
provide community development services,provide community-based social services|provide services to specific groups in communities|provide community development service,skill
design a building management system,develop a BMS|design a BMS|create a building management system|engineer a bms|develop a facility management system,skill
assess studio production,assessing studio production|evaluate studio production|analyse studio production|monitor studio production,skill
provide on-site training in aquaculture facilities,on-site training providing in aquaculture facilities|delivering training on site in aquaculture facilities|deliver training on site in aquaculture facilities|deliver on-site training in aquaculture facilities|on-site training delivering in aquaculture facilities|providing training on site in aquaculture facilities|delivering on-site training in aquaculture facilities|provide training on site in aquaculture facilities,skill
learn the choreographic material,learn the choreography|reharse the choreographic material|earmark the choreographic materials|learn the material that is choreographic,skill
organise a damage assessment,organize a damage assessment|organise a damage appraisal|create a damage assessment|organise a damage valuation,skill
conserve water resource,water resources managing|conserve water resources|water resources conserving|conserving water resources|water resource managing|conserving water resource|manage water resource|manage water resources|water resource conserving|managing water resources|managing water resource,skill
make diplomatic decisions,implement diplomatic decisions|undertake diplomatic decision making|perform diplomatic decisions|perform diplomatic decision making|implement diplomatic decision making|carry out diplomatic decisions|carry out diplomatic decision making|undertake diplomatic decisions,skill
handle tasks independently,handling a task independently|handle a task independently|solve tasks independently|handling tasks independently|operate tasks independently|administer tasks independently|deal with tasks independently|conduct tasks independently,skill
prepare religious services,celebrate religious worship|undertake religious services|arrange religious worship|provide religious services|celebrate religious services|arrange religious services|undertake religious worship|provide religious worship,skill
design user interface,,skill
maintain professional boundaries in social work,preserve professional integrity in social work interactions|maintain professional integrity in social work interactions|preserve professional boundaries in social work,skill
drive concrete piles,using concrete pile driver|driving concrete piles|use concrete pile driver|insert concrete pile|concrete pile driving|driving of  concrete piles|inserting concrete piles,skill
solve operational transport problems,resolve operational transport problems|solve operational transport issues|address operational transport problems|resolve operational transport issues|address operational transport issues|create solutions to operational transport problems|develop solutions to operational transport problems|remedy problems in operational transport|find solutions to operational transport problems|remedy problems in operational transportation,skill
preset costumes,arrange costumes|present the costumes|put costume outfits in place|pre-setting of costumes,skill
develop product design,launch product design|developing product designs|establish product design|develop a product design|develop product designs|evaluate product design|produce product design,skill
conduct public presentations,give presentations to the public|public presentations conducting|give public presentations|giving presentations to the public|conduct presentations to the public|public presentations giving|giving public presentations|conducting presentations to the public|conducting public presentations,skill
